datetime,open,high,low,close,volume
2023-01-01,450.61,495.79,424.95,466.96,4887
2023-01-02,462.28,490.89,400.56,400.56,9101
2023-01-03,436.26,482.89,436.26,450.04,8834
2023-01-04,445.09,447.26,406.93,447.26,9614
2023-01-05,489.67,489.67,434.46,474.0,7845
2023-01-06,496.18,499.87,466.44,466.44,7433
2023-01-07,481.42,481.42,439.43,466.27,2059
2023-01-08,470.65,473.88,453.81,464.29,5999
2023-01-09,405.28,485.6,405.28,485.6,1835
2023-01-10,482.92,482.92,400.26,400.26,4175
2023-01-11,494.2,494.2,437.46,437.46,2129
2023-01-12,443.24,496.67,443.24,466.41,6706
2023-01-13,499.09,499.09,433.51,474.26,1513
2023-01-14,452.58,489.17,452.58,465.5,1537
2023-01-15,420.71,494.37,410.01,410.01,4913
2023-01-16,447.84,482.66,422.78,482.66,2129
2023-01-17,494.74,494.74,459.36,491.3,1507
2023-01-18,440.97,492.29,440.97,492.29,7655
2023-01-19,495.88,495.88,450.98,450.98,8182
2023-01-20,478.97,478.97,429.81,429.81,2178
2023-01-21,497.83,499.58,443.65,451.27,9746
2023-01-22,450.45,483.46,407.89,407.89,4563
2023-01-23,429.86,486.59,402.4,402.4,5354
2023-01-24,499.93,499.93,407.35,407.35,1444
2023-01-25,409.12,491.59,409.12,457.78,9516
2023-01-26,431.43,454.62,408.46,408.46,6173
2023-01-27,460.39,471.18,450.5,450.5,4952
2023-01-28,430.67,459.44,423.05,459.44,2536
2023-01-29,483.32,483.32,431.48,431.48,9824
2023-01-30,439.56,499.78,402.02,402.02,8083
2023-01-31,441.53,441.53,422.64,422.64,3004
2023-02-01,465.92,498.76,406.98,406.98,9371
2023-02-02,496.92,496.92,422.14,491.02,2363
2023-02-03,486.87,486.87,445.31,445.31,4301
2023-02-04,467.56,467.75,448.72,453.74,4605
2023-02-05,440.7,478.08,440.7,478.08,7287
2023-02-06,499.42,499.42,429.08,429.08,7594
2023-02-07,487.86,487.86,475.5,475.5,6724
2023-02-08,442.75,458.29,435.52,435.52,8669
2023-02-09,487.5,487.5,433.52,433.52,6504
2023-02-10,466.13,493.49,404.84,490.4,6737
2023-02-11,416.18,445.57,416.18,445.57,5990
2023-02-12,480.52,496.14,445.83,445.83,6613
2023-02-13,456.18,496.54,456.18,474.43,8297
2023-02-14,408.1,468.57,408.1,416.61,4464
2023-02-15,482.34,493.98,444.74,444.74,7874
2023-02-16,410.77,462.84,410.77,436.87,6083
2023-02-17,449.48,487.01,438.0,449.57,4783
2023-02-18,400.31,459.75,400.31,441.29,9940
2023-02-19,462.47,462.47,425.91,449.96,7034
2023-02-20,437.7,499.08,437.7,464.23,9903
2023-02-21,404.25,473.58,404.25,437.14,5853
2023-02-22,466.44,491.41,443.42,461.85,4614
2023-02-23,485.63,485.63,427.84,427.84,1417
2023-02-24,412.02,495.51,412.02,487.55,6095
2023-02-25,400.11,479.62,400.11,466.56,9999
2023-02-26,453.04,473.74,452.06,473.74,3358
2023-02-27,454.99,497.04,426.62,497.04,1728
2023-02-28,479.5,479.5,460.9,460.9,4161
2023-03-01,499.97,499.97,465.4,465.4,3177
2023-03-02,436.52,465.1,420.29,465.1,4396
2023-03-03,470.29,498.94,470.29,471.63,5332
2023-03-04,404.08,461.74,404.08,461.74,5682
2023-03-05,444.89,469.87,425.91,425.91,1919
2023-03-06,472.16,483.31,472.16,483.31,7656
2023-03-07,482.54,482.54,452.22,467.08,9432
2023-03-08,443.21,448.66,403.64,429.23,7806
2023-03-09,441.13,451.94,440.08,451.94,9840
2023-03-10,423.39,479.99,423.39,476.36,9688
2023-03-11,425.53,484.82,425.53,484.82,7318
2023-03-12,449.52,455.23,442.36,444.03,3190
2023-03-13,438.95,496.97,438.95,480.9,1512
2023-03-14,493.17,493.17,425.38,425.38,8111
2023-03-15,496.02,496.02,476.32,491.24,1501
2023-03-16,456.84,485.26,420.08,485.26,7350
2023-03-17,469.72,492.87,469.72,485.02,5206
2023-03-18,458.73,495.16,400.43,463.23,8679
2023-03-19,470.06,485.67,461.8,461.8,3309
2023-03-20,406.28,494.6,406.28,485.04,9855
2023-03-21,499.98,499.98,423.88,423.88,7233
2023-03-22,436.13,468.42,407.81,425.31,5040
2023-03-23,401.19,486.15,401.19,439.42,2253
2023-03-24,480.13,480.13,435.24,435.24,4215
2023-03-25,412.48,477.01,412.48,462.76,9753
2023-03-26,457.43,484.63,433.03,463.27,8285
2023-03-27,476.07,495.24,459.78,495.24,1102
2023-03-28,498.43,499.07,412.32,412.32,8787
2023-03-29,418.72,488.79,409.46,409.46,1486
2023-03-30,420.44,491.15,420.44,443.93,3864
2023-03-31,495.51,495.51,447.0,476.52,5288
2023-04-01,487.69,497.26,434.1,434.1,4880
2023-04-02,413.63,499.62,413.63,499.62,8673
2023-04-03,478.39,478.39,409.54,428.87,7210
2023-04-04,400.89,492.82,400.89,471.01,7546
2023-04-05,467.17,467.17,404.93,404.93,1477
2023-04-06,498.16,498.16,413.02,477.15,9433
2023-04-07,404.46,451.02,404.46,451.02,1593
2023-04-08,409.33,489.25,409.33,470.29,8105
2023-04-09,446.01,492.88,446.01,492.88,9916
2023-04-10,457.44,457.44,404.24,434.56,4563
