datetime,open,high,low,close,volume
2024-01-01,442.61,444.85,436.23,437.88,3872
2024-01-02,430.95,435.12,426.09,430.11,6838
2024-01-03,426.18,426.5,422.35,425.97,9921
2024-01-04,414.39,421.3,410.47,419.06,6323
2024-01-05,421.34,423.82,418.52,420.05,7877
2024-01-06,419.57,424.64,415.64,419.5,3206
2024-01-07,419.84,420.72,418.57,419.89,2837
2024-01-08,427.39,429.95,423.82,427.12,4565
2024-01-09,423.5,423.62,416.78,420.5,5446
2024-01-10,421.3,424.48,418.07,419.46,6500
2024-01-11,425.09,426.77,419.44,421.87,6800
2024-01-12,422.26,424.6,420.94,423.86,6269
2024-01-13,429.27,434.3,422.01,423.3,2060
2024-01-14,424.69,426.12,424.38,426.01,2873
2024-01-15,429.14,431.35,426.2,428.94,1812
2024-01-16,434.36,435.22,431.46,433.52,8801
2024-01-17,442.39,443.45,430.81,436.74,2767
2024-01-18,433.4,434.62,430.75,433.82,2069
2024-01-19,435.69,440.67,433.57,438.06,1661
2024-01-20,435.2,437.05,432.12,434.2,1940
2024-01-21,425.55,428.63,421.51,428.02,3025
2024-01-22,428.01,433.64,426.82,432.6,6448
2024-01-23,432.68,437.32,432.39,433.72,4947
2024-01-24,429.36,435.55,427.99,432.44,9580
2024-01-25,427.2,427.84,423.28,424.03,1946
2024-01-26,427.41,432.63,424.38,430.46,5804
2024-01-27,427.87,428.85,421.55,424.42,2844
2024-01-28,428.21,435.5,427.3,432.16,2019
2024-01-29,443.03,443.04,440.53,441.47,2576
2024-01-30,445.61,449.21,444.99,447.91,2426
2024-01-31,450.88,451.07,447.69,448.34,9298
2024-02-01,440.47,446.45,437.55,443.26,8812
2024-02-02,455.15,455.41,448.41,451.62,9488
2024-02-03,458.62,459.39,456.71,459.27,2872
2024-02-04,458.81,461.78,455.83,459.92,1538
2024-02-05,464.31,466.1,461.15,463.76,1795
2024-02-06,462.65,469.5,460.71,468.22,1132
2024-02-07,469.63,472.93,465.23,468.73,5705
2024-02-08,458.35,464.89,457.13,460.04,4823
2024-02-09,452.23,452.35,449.56,450.44,2315
2024-02-10,457.56,457.93,455.18,456.63,2555
2024-02-11,440.81,448.47,440.5,443.28,565
2024-02-12,439.7,441.14,438.84,440.15,4421
2024-02-13,443.76,447.06,440.55,444.03,8572
2024-02-14,435.58,444.73,430.6,440.91,4623
2024-02-15,439.14,444.06,438.42,441.75,1212
2024-02-16,438.38,442.57,435.78,435.84,1770
2024-02-17,438.54,441.71,435.03,435.34,1571
2024-02-18,435.11,436.14,432.49,433.39,2142
2024-02-19,438.41,439.11,435.36,435.71,7225
2024-02-20,445.87,448.58,442.96,443.46,1342
2024-02-21,440.41,443.46,436.77,441.47,4737
2024-02-22,448.31,448.66,444.8,445.48,1561
2024-02-23,444.73,446.43,441.5,442.91,1378
2024-02-24,437.64,446.31,437.44,440.83,2715
2024-02-25,444.99,448.47,440.76,445.4,3262
2024-02-26,433.28,434.38,429.85,431.77,4469
2024-02-27,428.8,433.79,428.27,431.7,5238
2024-02-28,429.77,432.79,427.33,431.39,5847
2024-02-29,425.31,434.28,421.89,429.28,3170
2024-03-01,432.3,433.47,431.45,432.29,5999
2024-03-02,435.45,439.54,431.67,435.04,1106
2024-03-03,429.73,439.02,427.28,434.51,399
2024-03-04,429.31,430.03,424.75,426.81,7839
2024-03-05,429.71,430.95,425.64,427.09,4485
2024-03-06,433.96,434.02,430.0,430.61,6152
2024-03-07,438.41,439.52,437.54,438.39,9876
2024-03-08,443.5,445.83,440.64,440.81,9531
2024-03-09,445.27,448.28,444.11,444.17,3040
2024-03-10,451.5,451.96,447.63,448.46,2588
2024-03-11,440.98,445.15,438.29,443.62,4069
2024-03-12,440.91,441.97,433.39,437.78,9749
2024-03-13,443.19,446.66,436.69,438.49,5051
2024-03-14,447.99,450.56,445.57,445.78,5485
2024-03-15,446.33,446.64,443.01,443.72,8300
2024-03-16,443.51,444.68,438.65,444.24,606
2024-03-17,449.23,451.49,440.94,444.63,1981
2024-03-18,438.97,442.71,438.82,442.45,7222
2024-03-19,451.35,452.19,448.54,450.34,5157
2024-03-20,444.15,446.67,441.65,443.72,2847
2024-03-21,443.67,444.78,439.56,441.45,5539
2024-03-22,447.03,452.6,444.33,450.47,4376
2024-03-23,448.25,452.69,443.07,447.44,2392
2024-03-24,453.17,455.29,452.15,454.51,1891
2024-03-25,458.51,462.11,455.48,459.72,3572
2024-03-26,449.87,453.78,448.42,452.22,7726
2024-03-27,447.24,448.39,437.94,443.1,9647
2024-03-28,449.29,453.53,440.92,446.65,1783
2024-03-29,450.57,453.69,449.48,450.74,6381
2024-03-30,463.32,465.07,453.38,456.65,3219
2024-03-31,460.62,466.12,455.83,463.22,1041
