datetime,bid1,ask1,price,volume,bid1_volume,ask1_volume
2023-01-01 09:00:00,449.76,450.24,450.0,0,29,20
2023-01-01 09:00:01,449.89,450.23,450.06,5,22,60
2023-01-01 09:00:02,450.17,450.28,450.22,10,88,65
2023-01-01 09:00:03,450.03,450.29,450.16,19,79,23
2023-01-01 09:00:04,449.97,450.23,450.1,20,47,76
2023-01-01 09:00:05,449.98,450.18,450.08,24,47,79
2023-01-01 09:00:06,450.03,450.39,450.21,31,13,75
2023-01-01 09:00:07,450.08,450.22,450.15,35,30,59
2023-01-01 09:00:08,449.8,450.23,450.01,41,31,33
2023-01-01 09:00:09,449.84,450.33,450.08,42,95,64
2023-01-01 09:00:10,449.8,450.21,450.0,45,22,18
2023-01-01 09:00:11,449.86,450.24,450.05,52,17,78
2023-01-01 09:00:12,449.92,450.12,450.02,60,43,67
2023-01-01 09:00:13,450.02,450.38,450.2,66,33,81
2023-01-01 09:00:14,450.1,450.24,450.17,72,18,27
2023-01-01 09:00:15,450.06,450.43,450.25,72,22,45
2023-01-01 09:00:16,450.1,450.55,450.32,76,18,51
2023-01-01 09:00:17,450.2,450.4,450.3,82,41,18
2023-01-01 09:00:18,450.17,450.56,450.37,83,80,37
2023-01-01 09:00:19,450.45,450.57,450.51,90,34,51
